INFO: 2020-09-23 10:57:39,067 Episode 489	Average Score: 1.47
INFO: 2020-09-23 10:58:07,386 Episode 490	Average Score: 1.47
INFO: 2020-09-23 10:58:35,071 Episode 491	Average Score: 1.51
INFO: 2020-09-23 10:59:02,329 Episode 492	Average Score: 1.52
INFO: 2020-09-23 10:59:30,992 Episode 493	Average Score: 1.58
INFO: 2020-09-23 10:59:58,360 Episode 494	Average Score: 1.59
INFO: 2020-09-23 11:00:26,757 Episode 495	Average Score: 1.61
INFO: 2020-09-23 11:00:56,006 Episode 496	Average Score: 1.64
INFO: 2020-09-23 11:01:26,658 Episode 497	Average Score: 1.63
INFO: 2020-09-23 11:01:56,720 Episode 498	Average Score: 1.62
INFO: 2020-09-23 11:02:25,956 Episode 499	Average Score: 1.62
INFO: 2020-09-23 11:02:58,094 Episode 500	Average Score: 1.62
